Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J65,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,189.205127,-123.462103,0.0,top
J66,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,185.925,-119.14345,0.0,top
J67,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,180.544873,-118.462103,0.0,bottom
J68,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,185.925,-119.14345,0.0,bottom
J69,MF254V-11-07-0743,MF254V-11-07-0743,184.109,-101.609,-90.0,top
J7,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,123.699,-67.353,0.0,bottom
J70,MF254V-11-07-0743,MF254V-11-07-0743,184.109,-101.609,270.0,bottom
J71,MF254V-11-07-0743,MF254V-11-07-0743,199.349,-101.609,-90.0,top
J72,MF254V-11-07-0743,MF254V-11-07-0743,199.349,-101.609,270.0,bottom
J73,Mill Max 0906-2-15-20-75-14-11-0,0906-2-15-20-75-14-11-0,186.903,-101.355,0.0,top
J74,Mill Max 0906-2-15-20-75-14-11-0,0906-2-15-20-75-14-11-0,196.555,-101.355,0.0,bottom
J75,JST SM02B-SRSS-TB(LF)(SN),JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,183.728,-88.782,90.0,top
J76,JST SM02B-SRSS-TB(LF)(SN),JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,183.728,-88.782,270.0,bottom
J8,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,118.699,-69.453,0.0,bottom
J9,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,131.699,-60.353,0.0,top
SW18,PCM12SMTR,SW_PCM12SMTR,196.785,-88.5875,180.0,top
SW19,PCM12SMTR,SW_PCM12SMTR,196.785,-88.5875,180.0,bottom
